id,indicator,indicator.label,freq,freq.label,size,data.start,data.end,last.update,n.records,collection,collection.label,subject,subject.label
EAP_2WAP_SEX_AGE_GEO_RT_A,EAP_2WAP_SEX_AGE_GEO_RT,"Labour force participation rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,1.11 MB,2005,2024,21/01/2020 15:48:59,148500,ILOEST,"ILO estimates",ILOEST;EAP,"ILO modelled estimates | Population and labour force"
EMP_2EMP_SEX_AGE_NB_A,EMP_2EMP_SEX_AGE_NB,"Employment by sex and age -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,705.17 KB,1991,2024,21/01/2020 15:48:57,84150,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_AGE_GEO_NB_A,EMP_2EMP_SEX_AGE_GEO_NB,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,1.31 MB,2005,2024,21/01/2020 15:48:59,148500,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_STE_NB_A,EMP_2EMP_SEX_STE_NB,"Employment by sex and status in employment -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,1.65 MB,1991,2024,21/01/2020 15:48:57,224400,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_AGE_STE_NB_A,EMP_2EMP_AGE_STE_NB,"Employment by age and status in employment -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,1.59 MB,1991,2024,21/01/2020 15:48:59,224400,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_GEO_STE_NB_A,EMP_2EMP_SEX_GEO_STE_NB,"Employment by sex, rural / urban areas and status in employment -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,3.02 MB,2005,2024,21/01/2020 15:48:59,396000,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_ECO_NB_A,EMP_2EMP_SEX_ECO_NB,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,5.42 MB,1991,2024,21/01/2020 15:48:58,729300,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_GEO_ECO_NB_A,EMP_2EMP_SEX_GEO_ECO_NB,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,1.71 MB,2005,2024,21/01/2020 15:48:59,198000,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_OCU_NB_A,EMP_2EMP_SEX_OCU_NB,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,2.02 MB,1991,2024,21/01/2020 15:48:59,252450,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_GEO_OCU_NB_A,EMP_2EMP_SEX_GEO_OCU_NB,"Employment by sex, rural / urban areas and occupation -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,2.79 MB,2010,2024,21/01/2020 15:49:00,334125,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_AGE_CLA_NB_A,EMP_2EMP_SEX_AGE_CLA_NB,"Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,3.01 MB,1991,2024,21/01/2020 15:48:56,350370,ILOEST,"ILO estimates",ILOEST;EMP;POV,"ILO modelled estimates | Employment | Employment by economic class"
EMP_2EMP_SEX_STE_DT_A,EMP_2EMP_SEX_STE_DT,"Employment distribution by status in employment (by sex) -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,1.31 MB,1991,2024,21/01/2020 15:48:59,224400,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_AGE_STE_DT_A,EMP_2EMP_AGE_STE_DT,"Employment distribution by status in employment (by age) -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,1.33 MB,1991,2024,21/01/2020 15:49:00,224400,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_GEO_STE_DT_A,EMP_2EMP_SEX_GEO_STE_DT,"Employment distribution by status in employment (by sex and rural / urban areas) -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,2.43 MB,2005,2024,21/01/2020 15:49:00,396000,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_ECO_DT_A,EMP_2EMP_SEX_ECO_DT,"Employment distribution by economic activity (by sex) -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,4.58 MB,1991,2024,21/01/2020 15:48:59,729300,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_GEO_ECO_DT_A,EMP_2EMP_SEX_GEO_ECO_DT,"Employment distribution by economic activity (by sex and rural / urban areas) -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,1.29 MB,2005,2024,21/01/2020 15:48:59,198000,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_OCU_DT_A,EMP_2EMP_SEX_OCU_DT,"Employment distribution by occupation (by sex) -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,1.6 MB,1991,2024,21/01/2020 15:48:58,252450,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_GEO_OCU_DT_A,EMP_2EMP_SEX_GEO_OCU_DT,"Employment distribution by occupation (by sex and rural / urban areas) -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,2.25 MB,2010,2024,21/01/2020 15:48:59,334125,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2EMP_SEX_AGE_CLA_DT_A,EMP_2EMP_SEX_AGE_CLA_DT,"Employment distribution by economic class (by sex and age) -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,2.25 MB,1991,2024,21/01/2020 15:48:56,350370,ILOEST,"ILO estimates",ILOEST;EMP;POV,"ILO modelled estimates | Employment | Employment by economic class"
EMP_2WAP_SEX_AGE_RT_A,EMP_2WAP_SEX_AGE_RT,"Employment-to-population ratio by sex and age -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,589.27 KB,1991,2024,21/01/2020 15:48:58,84150,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2WAP_SEX_AGE_GEO_RT_A,EMP_2WAP_SEX_AGE_GEO_RT,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,1.11 MB,2005,2024,21/01/2020 15:48:59,148500,ILOEST,"ILO estimates",ILOEST;EMP,"ILO modelled estimates | Employment"
EMP_2TRU_SEX_AGE_NB_A,EMP_2TRU_SEX_AGE_NB,"Time-related underemployment by sex and age -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,377.68 KB,2005,2024,21/01/2020 15:48:59,49500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
EMP_2TRU_SEX_AGE_GEO_NB_A,EMP_2TRU_SEX_AGE_GEO_NB,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,1.18 MB,2005,2024,21/01/2020 15:48:59,148500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
EMP_2TRU_SEX_AGE_RT_A,EMP_2TRU_SEX_AGE_RT,"Time-related underemployment rate by sex and age -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,330.51 KB,2005,2024,20/02/2020 19:02:22,49500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
UNE_2UNE_SEX_AGE_NB_A,UNE_2UNE_SEX_AGE_NB,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,646.28 KB,1991,2024,21/01/2020 15:48:58,84150,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
UNE_2UNE_SEX_AGE_GEO_NB_A,UNE_2UNE_SEX_AGE_GEO_NB,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,1.2 MB,2005,2024,21/01/2020 15:48:59,148500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
UNE_2EAP_SEX_AGE_RT_A,UNE_2EAP_SEX_AGE_RT,"Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,548.32 KB,1991,2024,21/01/2020 15:48:58,84150,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
UNE_2EAP_SEX_AGE_GEO_RT_A,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,1.04 MB,2005,2024,21/01/2020 15:48:59,148500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
LUU_2LU2_SEX_AGE_RT_A,LUU_2LU2_SEX_AGE_RT,"Combined rate of time-related underemployment and unemployment (LU2) by sex and age -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,330.51 KB,2005,2024,21/01/2020 15:48:59,49500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
LUU_2LU2_SEX_AGE_GEO_RT_A,LUU_2LU2_SEX_AGE_GEO_RT,"Combined rate of time-related underemployment and unemployment (LU2) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,1.04 MB,2005,2024,21/01/2020 15:48:59,148500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
LUU_2LU3_SEX_AGE_RT_A,LUU_2LU3_SEX_AGE_RT,"Combined rate of unemployment and potential labour force (LU3) by sex and age -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,332.93 KB,2005,2024,21/01/2020 15:48:59,49500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
LUU_2LU3_SEX_AGE_GEO_RT_A,LUU_2LU3_SEX_AGE_GEO_RT,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,1.06 MB,2005,2024,21/01/2020 15:48:59,148500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
LUU_2LU4_SEX_AGE_NB_A,LUU_2LU4_SEX_AGE_NB,"Composite measure of labour underutilization (LU4) by sex and age -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,396.29 KB,2005,2024,21/02/2020 12:18:36,49500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
LUU_2LU4_SEX_AGE_RT_A,LUU_2LU4_SEX_AGE_RT,"Composite rate of labour underutilization (LU4) by sex and age -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,336.01 KB,2005,2024,21/01/2020 15:48:59,49500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
LUU_2LU4_SEX_AGE_GEO_RT_A,LUU_2LU4_SEX_AGE_GEO_RT,"Composite rate of labour underutilization (LU4) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,1.06 MB,2005,2024,21/01/2020 15:48:59,148500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
EIP_2PLF_SEX_AGE_NB_A,EIP_2PLF_SEX_AGE_NB,"Potential labour force by sex and age -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,377.98 KB,2005,2024,21/01/2020 15:48:59,49500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
EIP_2PLF_SEX_AGE_GEO_NB_A,EIP_2PLF_SEX_AGE_GEO_NB,"Potential labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,1.18 MB,2005,2024,21/01/2020 15:48:59,148500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
EIP_2PLF_SEX_AGE_RT_A,EIP_2PLF_SEX_AGE_RT,"Potential labour force rate by sex and age -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,319.74 KB,2005,2024,21/02/2020 09:15:10,49500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
EIP_2EIP_SEX_AGE_NB_A,EIP_2EIP_SEX_AGE_NB,"Persons outside the labour force by sex and age -- ILO modelled estimates, July 2019 (thousands)",A,Annual,6.94 MB,1990,2030,21/01/2020 15:48:58,947100,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
EIP_2EET_SEX_NB_A,EIP_2EET_SEX_NB,"Youth not in employment, education or training (NEET) by sex -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,122.08 KB,2005,2024,21/01/2020 15:48:58,16500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
EIP_2EET_SEX_GEO_NB_A,EIP_2EET_SEX_GEO_NB,"Youth not in employment, education or training (NEET) by sex and rural / urban areas -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,375.46 KB,2005,2024,21/01/2020 15:48:59,49500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
EIP_2WAP_SEX_AGE_RT_A,EIP_2WAP_SEX_AGE_RT,"Inactivity rate by sex and age -- ILO modelled estimates, July 2019 (%)",A,Annual,6.25 MB,1990,2030,21/01/2020 15:48:58,947100,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
EIP_2WAP_SEX_AGE_GEO_RT_A,EIP_2WAP_SEX_AGE_GEO_RT,"Inactivity rate by sex, age and rural / urban areas -- ILO modelled estimates, July 2019 (%)",A,Annual,1.11 MB,2005,2024,21/01/2020 15:48:59,148500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
EIP_2EET_SEX_RT_A,EIP_2EET_SEX_RT,"Share of youth not in employment, education or training (NEET) by sex -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,101.71 KB,2005,2024,21/01/2020 15:48:59,16500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
EIP_2EET_SEX_GEO_RT_A,EIP_2EET_SEX_GEO_RT,"Share of youth not in employment, education or training (NEET) by sex and rural / urban areas-- ILO modelled estimates, Nov. 2019 (%)",A,Annual,326.37 KB,2005,2024,21/01/2020 15:48:58,49500,ILOEST,"ILO estimates",ILOEST;LUU,"ILO modelled estimates | Unemployment and labour underutilization"
LAP_2GDP_NOC_RT_A,LAP_2GDP_NOC_RT,"Labour income share as a percent of GDP -- ILO modelled estimates, July 2019 (%)",A,Annual,15.93 KB,2004,2017,10/01/2020 08:51:38,3122,ILOEST,"ILO estimates",ILOEST;EAR;LAP,"ILO modelled estimates | Earnings and labour income | Labour income"
LAP_2LID_QTL_DT_A,LAP_2LID_QTL_DT,"Labour income distribution -- ILO modelled estimates, July 2019 (%)",A,Annual,301.13 KB,2004,2017,10/01/2020 09:02:19,31220,ILOEST,"ILO estimates",ILOEST;EAR;LAP,"ILO modelled estimates | Earnings and labour income | Labour income"
EAR_MREE_NOC_GR_A,EAR_MREE_NOC_GR,"Mean real monthly earnings of employees, annual growth -- ILO modelled estimates, Nov. 2019 (%)",A,Annual,2.52 KB,2000,2017,10/12/2018 14:24:33,288,ILOEST,"ILO estimates",ILOEST,"ILO modelled estimates"
POP_XWAP_SEX_AGE_NB_A,POP_XWAP_SEX_AGE_NB,"Working-age population by sex and age (thousands)",A,Annual,2.23 MB,1946,2019,06/03/2020 09:01:26,293496,YI,"Yearly indicators",EAP,"Population and labour force"
POP_XWAP_SEX_AGE_NB_Q,POP_XWAP_SEX_AGE_NB,"Working-age population by sex and age (thousands)",Q,Quarterly,2.93 MB,1948Q1,2019Q4,06/03/2020 21:43:43,434023,STI,"Short term indicators",EAP,"Population and labour force"
POP_XWAP_SEX_AGE_NB_M,POP_XWAP_SEX_AGE_NB,"Working-age population by sex and age (thousands)",M,Monthly,1.35 MB,1948M01,2020M01,15/02/2020 23:47:16,203063,STI,"Short term indicators",EAP,"Population and labour force"
POP_XWAP_SEX_AGE_EDU_NB_A,POP_XWAP_SEX_AGE_EDU_NB,"Working-age population by sex, age and education (thousands)",A,Annual,6.96 MB,1990,2019,06/03/2020 09:01:29,934295,YI,"Yearly indicators",EAP,"Population and labour force"
POP_XWAP_SEX_AGE_EDU_NB_Q,POP_XWAP_SEX_AGE_EDU_NB,"Working-age population by sex, age and education (thousands)",Q,Quarterly,8.92 MB,1990Q1,2019Q4,06/03/2020 21:43:43,1208206,STI,"Short term indicators",EAP,"Population and labour force"
POP_XWAP_SEX_AGE_EDU_NB_M,POP_XWAP_SEX_AGE_EDU_NB,"Working-age population by sex, age and education (thousands)",M,Monthly,1.95 MB,1990M01,2020M01,15/02/2020 23:47:16,227934,STI,"Short term indicators",EAP,"Population and labour force"
POP_XWAP_SEX_AGE_GEO_NB_A,POP_XWAP_SEX_AGE_GEO_NB,"Working-age population by sex, age and rural / urban areas (thousands)",A,Annual,1.5 MB,1990,2019,06/03/2020 21:42:59,188396,YI,"Yearly indicators",EAP,"Population and labour force"
POP_XWAP_SEX_AGE_GEO_NB_Q,POP_XWAP_SEX_AGE_GEO_NB,"Working-age population by sex, age and rural / urban areas (thousands)",Q,Quarterly,3.33 MB,1995Q2,2019Q4,06/03/2020 21:43:43,476635,STI,"Short term indicators",EAP,"Population and labour force"
POP_XWAP_SEX_AGE_GEO_NB_M,POP_XWAP_SEX_AGE_GEO_NB,"Working-age population by sex, age and rural / urban areas (thousands)",M,Monthly,545.3 KB,2005M01,2020M01,15/02/2020 23:47:15,66906,STI,"Short term indicators",EAP,"Population and labour force"
POP_XWAP_SEX_AGE_MTS_NB_A,POP_XWAP_SEX_AGE_MTS_NB,"Working-age population by sex, age and marital status (thousands)",A,Annual,2.09 MB,1990,2019,06/03/2020 21:42:59,280759,YI,"Yearly indicators",EAP;WOM,"Population and labour force | Women"
POP_XWAP_SEX_MTS_NB_A,POP_XWAP_SEX_MTS_NB,"Working-age population by sex and marital status (thousands)",A,Annual,175.18 KB,1990,2019,06/03/2020 21:42:59,20000,YI,"Yearly indicators",EAP;WOM,"Population and labour force | Women"
POP_XWAP_SEX_EDU_NB_A,POP_XWAP_SEX_EDU_NB,"Working-age population by sex and education (thousands)",A,Annual,201.85 KB,1990,2019,06/03/2020 09:01:34,21892,YI,"Yearly indicators",EAP,"Population and labour force"
POP_XWAP_SEX_EDU_GEO_NB_A,POP_XWAP_SEX_EDU_GEO_NB,"Working-age population by sex, education and rural / urban areas (thousands)",A,Annual,495.71 KB,1990,2019,06/03/2020 21:42:59,52530,YI,"Yearly indicators",EAP,"Population and labour force"
