"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,22.6,,
"FRA","France","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,22.5,,
"DEU","Germany","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,2.3,,
"DEU","Germany","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,3.4,,
"DEU","Germany","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,4.8,,
"DEU","Germany","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,7.3,,
"DEU","Germany","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,7.8,,
"DEU","Germany","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,29.8,,
"DEU","Germany","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,29.1,,
"DEU","Germany","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,33.9,,
"DEU","Germany","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,38.8,,
"DEU","Germany","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,38.2,,
"GRC","Greece","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,4,,
"GRC","Greece","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,4.7,,
"GRC","Greece","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,3,,
"GRC","Greece","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,3.2,,
"GRC","Greece","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,5.1,,
"GRC","Greece","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,11.6,,
"GRC","Greece","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,13.3,,
"GRC","Greece","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,9.4,,
"GRC","Greece","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,11.4,,
"GRC","Greece","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,14.5,,
"HUN","Hungary","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,1.9,,
"HUN","Hungary","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,1.7,,
"HUN","Hungary","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,2,,
"HUN","Hungary","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,2.6,,
"HUN","Hungary","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,4.6,,
"HUN","Hungary","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,4.7,,
"HUN","Hungary","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,5.3,,
"HUN","Hungary","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,5.4,,
"ISL","Iceland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,9.1,,
"ISL","Iceland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,8.8,,
"ISL","Iceland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,7.3,,
"ISL","Iceland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,11.4,,
"ISL","Iceland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,37.9,,
"ISL","Iceland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,33.7,,
"ISL","Iceland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,26.6,,
"ISL","Iceland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,25.9,,
"IRL","Ireland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,4.4,,
"IRL","Ireland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,6.7,,
"IRL","Ireland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,7.3,,
"IRL","Ireland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,6.9,,
"IRL","Ireland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,12.1,,
"IRL","Ireland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,21.2,,
"IRL","Ireland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,27,,
"IRL","Ireland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,32,,
"IRL","Ireland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,34.6,,
"IRL","Ireland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,38.2,,
"ITA","Italy","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,4,,
"ITA","Italy","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,4.8,,
"ITA","Italy","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,5.4,,
"ITA","Italy","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,5.3,,
"ITA","Italy","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,6.3,,
"ITA","Italy","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,18.4,,
"ITA","Italy","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,21.1,,
"ITA","Italy","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,22.5,,
"ITA","Italy","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,28.8,,
"ITA","Italy","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,31,,
"JPN","Japan","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,8.8,,
"JPN","Japan","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,10.4,,
"JPN","Japan","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,31.7,,
"JPN","Japan","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,33.9,,
"KOR","Korea","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,3.1,,
"KOR","Korea","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,2.8,,
"KOR","Korea","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,5.1,,
"KOR","Korea","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,6.4,,
"KOR","Korea","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,7.2,,
"KOR","Korea","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,6.5,,
"KOR","Korea","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,6.6,,
"KOR","Korea","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,9.8,,
"KOR","Korea","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,12.4,,
"KOR","Korea","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,15.5,,
"LUX","Luxembourg","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,1.6,,
"LUX","Luxembourg","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,1.9,,
"LUX","Luxembourg","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,2.1,,
"LUX","Luxembourg","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,1.6,,
"LUX","Luxembourg","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,4.6,,
"LUX","Luxembourg","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,19.1,,
"LUX","Luxembourg","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,28.4,,
"LUX","Luxembourg","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,28.9,,
"LUX","Luxembourg","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,30.7,,
"LUX","Luxembourg","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,30.4,,
"MEX","Mexico","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,9.5,,
"MEX","Mexico","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,7.1,,
"MEX","Mexico","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,10.1,,
"MEX","Mexico","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,12.2,,
"MEX","Mexico","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,31.1,,
"MEX","Mexico","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,25.6,,
"MEX","Mexico","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,27.2,,
"MEX","Mexico","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,28.1,,
"NLD","Netherlands","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,13.4,,
"NLD","Netherlands","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,11.8,,
"NLD","Netherlands","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,13.1,,
"NLD","Netherlands","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,15.3,,
"NLD","Netherlands","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,17.2,,
"NLD","Netherlands","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,52.5,,
"NLD","Netherlands","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,55.1,,
"NLD","Netherlands","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,57.3,,
"NLD","Netherlands","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,60.7,,
"NLD","Netherlands","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,60.6,,
"NZL","New Zealand","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,7.9,,
"NZL","New Zealand","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,9.5,,
"NZL","New Zealand","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,10.9,,
"NZL","New Zealand","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,10,,
"NZL","New Zealand","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,11.3,,
"NZL","New Zealand","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,34.8,,
"NZL","New Zealand","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,35.3,,
"NZL","New Zealand","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,35.7,,
"NZL","New Zealand","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,35.1,,
"NZL","New Zealand","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,33.7,,
